Maturity,0.5, 0.6, 0.7,0.75,0.80,0.85,0.90,0.95,1.00,1.05,1.10,1.15,1.20,1.25,1.30,1.40,1.50
3W,64.64,55.36,46.10,41.32,36.31,30.95,25.08,18.73,13.69,12.68,13.69,15.10,16.51,17.83,19.05,21.22,23.08
1M,62.89,53.93,45.01,40.41,35.60,30.49,24.92,18.95,14.12,12.82,13.54,14.80,16.12,17.38,18.55,20.65,22.47
2M,54.90,47.38,39.98,36.21,32.34,28.32,24.12,19.82,15.98,13.68,13.17,13.60,14.38,15.26,16.15,17.83,19.33
3M,54.31,46.73,39.27,35.48,31.62,27.66,23.63,19.76,16.61,14.76,14.08,14.10,14.45,14.97,15.55,16.73,17.87
4M,51.03,43.87,36.88,33.38,29.86,26.33,22.89,19.72,17.17,15.50,14.63,14.27,14.22,14.34,14.58,15.20,15.89
5M,49.29,42.35,35.61,32.26,28.92,25.64,22.51,19.70,17.44,15.87,14.90,14.35,14.09,14.02,14.07,14.36,14.79
6M,47.58,40.93,34.50,31.32,28.18,25.12,22.24,19.70,17.63,16.10,15.06,14.40,14.03,13.84,13.79,13.92,14.22
7M,44.94,38.94,33.18,30.35,27.54,24.79,22.16,19.76,17.72,16.14,15.05,14.39,14.07,13.98,14.04,14.41,14.93
8M,43.04,37.54,32.26,29.66,27.09,24.56,22.10,19.80,17.78,16.16,15.04,14.38,14.10,14.07,14.20,14.73,15.40
9M,41.60,36.44,31.51,29.09,26.69,24.31,21.99,19.79,17.81,16.21,15.09,14.44,14.18,14.18,14.35,14.95,15.68
10M,41.05,35.91,31.02,28.63,26.27,23.96,21.72,19.63,17.79,16.32,15.29,14.68,14.41,14.37,14.49,14.99,15.64
11M,40.61,35.49,30.63,28.26,25.94,23.67,21.50,19.50,17.77,16.40,15.44,14.86,14.58,14.52,14.61,15.02,15.60
12M,40.04,35.00,30.21,27.89,25.61,23.41,21.32,19.41,17.77,16.48,15.57,15.01,14.72,14.63,14.68,15.02,15.53
13M,38.94,34.11,29.55,27.35,25.19,23.11,21.14,19.34,17.80,16.57,15.68,15.11,14.79,14.66,14.66,14.91,15.33
14M,37.97,33.34,28.98,26.88,24.83,22.85,20.99,19.29,17.82,16.64,15.77,15.19,14.85,14.68,14.65,14.81,15.15
15M,37.18,32.72,28.52,26.50,24.54,22.65,20.87,19.24,17.84,16.70,15.85,15.26,14.90,14.71,14.64,14.74,15.02
16M,36.38,32.08,28.05,26.12,24.24,22.44,20.75,19.20,17.85,16.75,15.92,15.33,14.95,14.73,14.63,14.66,14.88
17M,35.73,31.56,27.67,25.81,24.01,22.28,20.65,19.17,17.87,16.80,15.98,15.38,14.99,14.74,14.62,14.60,14.77
18M,35.14,31.08,27.29,25.49,23.75,22.08,20.52,19.10,17.85,16.82,16.02,15.44,15.04,14.79,14.65,14.60,14.73
19M,34.74,30.68,26.92,25.13,23.42,21.79,20.28,18.92,17.74,16.77,16.03,15.49,15.13,14.91,14.79,14.78,14.93
20M,34.39,30.34,26.59,24.82,23.13,21.54,20.07,18.76,17.64,16.73,16.03,15.54,15.21,15.01,14.92,14.93,15.11
21M,34.04,29.99,26.26,24.50,22.84,21.28,19.85,18.60,17.53,16.68,16.04,15.58,15.29,15.12,15.04,15.08,15.28
22M,33.77,29.72,26.00,24.26,22.61,21.08,19.69,18.47,17.46,16.65,16.04,15.62,15.35,15.19,15.13,15.19,15.40
23M,33.49,29.44,25.73,24.00,22.38,20.87,19.52,18.35,17.38,16.61,16.05,15.66,15.41,15.27,15.23,15.31,15.53
24M,33.14,29.12,25.45,23.75,22.15,20.68,19.37,18.24,17.31,16.59,16.06,15.69,15.46,15.33,15.29,15.38,15.61